carat,cut,color,clarity,depth,table,x,y,z
0.33,0.0,3.0,2.0,61.5,55.0,4.47,4.51,2.76
1.09,0.0,3.0,1.0,62.1,55.0,6.58,6.63,4.1
0.69,3.0,2.0,5.0,58.4,61.7,5.75,5.82,3.38
0.77,0.0,0.0,6.0,60.6,56.0,5.95,5.9,3.59
0.73,2.0,3.0,2.0,61.4,58.0,5.83,5.86,3.59
0.7,0.0,1.0,5.0,62.6,55.0,5.62,5.66,3.53
1.01,1.0,2.0,4.0,62.1,60.0,6.36,6.43,3.97
0.7,1.0,4.0,3.0,62.3,60.0,5.65,5.61,3.51
0.33,1.0,3.0,5.0,62.3,59.0,4.39,4.44,2.75
1.03,0.0,4.0,7.0,61.5,57.0,6.52,6.48,4.0
0.33,0.0,1.0,1.0,61.5,56.0,4.46,4.49,2.75
1.5,3.0,0.0,6.0,60.2,65.0,7.37,7.34,4.43
0.7,2.0,5.0,5.0,61.6,63.0,5.68,5.59,3.47
1.2,0.0,5.0,5.0,62.2,57.0,6.8,6.77,4.22
0.27,0.0,1.0,4.0,60.8,56.0,4.25,4.23,2.58
0.46,2.0,1.0,3.0,58.7,60.0,5.08,5.15,3.0
0.28,0.0,4.0,2.0,61.6,56.0,4.22,4.26,2.61
0.51,1.0,3.0,4.0,61.3,59.0,5.17,5.11,3.15
0.32,0.0,5.0,2.0,62.2,54.5,4.38,4.42,2.74
0.74,2.0,6.0,3.0,62.7,58.0,5.75,5.8,3.62
1.7,1.0,1.0,5.0,61.8,58.0,7.62,7.52,4.68
0.39,1.0,6.0,3.0,61.0,62.0,4.71,4.66,2.86
1.01,3.0,6.0,4.0,62.8,58.0,6.3,6.35,3.97
0.9,2.0,2.0,5.0,63.4,56.0,6.06,6.12,3.86
0.41,0.0,0.0,5.0,62.3,55.0,4.79,4.77,2.98
0.3,1.0,3.0,2.0,61.9,59.0,4.28,4.25,2.64
0.36,2.0,1.0,4.0,62.8,55.0,4.49,4.56,2.84
0.4,1.0,2.0,3.0,62.5,57.0,4.72,4.69,2.94
0.79,0.0,1.0,4.0,59.3,57.0,6.02,6.06,3.58
0.55,1.0,3.0,6.0,60.3,58.0,5.35,5.33,3.22
0.26,2.0,1.0,1.0,61.4,55.0,4.12,4.16,2.54
1.12,0.0,6.0,5.0,62.4,57.0,6.65,6.6,4.14
0.28,0.0,2.0,5.0,60.6,55.0,4.26,4.3,2.6
0.7,4.0,3.0,3.0,57.1,62.0,5.89,5.94,3.38
0.35,0.0,0.0,5.0,62.3,55.0,4.51,4.54,2.82
0.32,2.0,3.0,4.0,60.2,57.0,4.42,4.45,2.67
0.91,3.0,3.0,6.0,63.6,59.0,6.15,6.11,3.9
0.35,2.0,1.0,3.0,59.9,59.9,4.54,4.59,2.73
0.61,2.0,0.0,3.0,60.9,56.0,5.49,5.51,3.35
0.31,1.0,6.0,3.0,61.8,59.0,4.33,4.31,2.67
0.55,2.0,6.0,5.0,62.5,57.0,5.22,5.24,3.27
0.3,2.0,4.0,5.0,61.3,61.0,4.25,4.27,2.61
0.55,0.0,0.0,4.0,61.0,56.0,5.31,5.28,3.23
1.52,1.0,4.0,3.0,61.4,58.0,7.44,7.3,4.55
1.3,1.0,0.0,6.0,61.5,58.0,6.98,6.91,4.27
0.45,2.0,3.0,6.0,59.7,61.0,4.95,5.0,2.97
1.07,1.0,3.0,6.0,62.0,59.0,6.54,6.5,4.04
1.52,1.0,1.0,3.0,60.6,58.0,7.38,7.44,4.49
0.55,0.0,1.0,4.0,61.4,56.0,5.26,5.32,3.25
0.34,0.0,3.0,0.0,61.3,56.0,4.52,4.55,2.78
0.3,2.0,4.0,3.0,63.0,59.0,4.21,4.27,2.67
1.22,1.0,3.0,4.0,61.8,58.0,6.84,6.91,4.25
0.4,0.0,4.0,5.0,62.6,52.0,4.73,4.76,2.97
1.01,4.0,1.0,5.0,56.8,61.0,6.59,6.62,3.75
0.3,2.0,0.0,2.0,60.6,58.0,4.33,4.35,2.63
0.41,0.0,4.0,4.0,61.5,55.0,4.78,4.81,2.95
1.0,2.0,5.0,4.0,61.9,59.0,6.35,6.38,3.94
2.2,0.0,4.0,6.0,60.0,58.0,8.47,8.5,5.09
0.7,0.0,5.0,6.0,61.5,53.0,5.74,5.77,3.54
0.36,0.0,4.0,5.0,62.3,57.0,4.58,4.54,2.84
0.51,2.0,0.0,4.0,63.7,55.0,5.05,5.09,3.23
1.51,3.0,4.0,4.0,64.0,59.0,7.25,7.19,4.62
0.47,0.0,1.0,6.0,61.5,55.0,4.98,5.04,3.08
0.4,3.0,1.0,5.0,63.5,56.0,4.67,4.72,2.98
0.71,2.0,1.0,2.0,61.7,60.0,5.7,5.74,3.53
0.7,3.0,1.0,3.0,59.4,61.0,5.79,5.83,3.45
0.51,0.0,1.0,5.0,61.5,55.0,5.18,5.16,3.18
0.77,1.0,1.0,4.0,60.5,59.0,5.98,5.92,3.6
0.51,0.0,1.0,4.0,62.6,55.0,5.08,5.11,3.19
1.01,1.0,2.0,2.0,61.8,55.0,6.45,6.36,3.96
0.4,0.0,2.0,3.0,61.3,56.0,4.76,4.73,2.91
0.3,1.0,5.0,3.0,60.4,58.0,4.4,4.34,2.64
0.74,3.0,0.0,1.0,59.2,62.6,5.85,5.87,3.47
1.31,0.0,2.0,5.0,61.6,55.0,7.04,7.09,4.35
0.54,0.0,2.0,3.0,61.8,54.0,5.24,5.27,3.25
0.38,0.0,2.0,5.0,61.1,57.0,4.7,4.72,2.88
1.1,0.0,1.0,6.0,61.6,56.0,6.66,6.63,4.09
0.7,2.0,2.0,0.0,61.5,58.0,5.65,5.7,3.49
0.3,1.0,0.0,5.0,62.3,59.0,4.25,4.22,2.64
0.71,2.0,6.0,6.0,60.9,55.0,5.76,5.87,3.54
1.5,1.0,6.0,6.0,61.0,60.0,7.34,7.3,4.46
0.41,2.0,5.0,2.0,61.3,60.0,4.77,4.82,2.94
1.03,0.0,2.0,5.0,62.6,57.0,6.42,6.46,4.03
0.81,0.0,4.0,0.0,61.6,58.0,5.98,6.01,3.69
0.72,0.0,2.0,3.0,62.4,56.0,5.76,5.72,3.58
0.7,1.0,2.0,5.0,62.2,59.0,5.73,5.69,3.55
0.54,0.0,5.0,3.0,61.6,54.0,5.26,5.3,3.25
0.53,0.0,3.0,0.0,62.1,57.0,5.16,5.21,3.22
0.47,0.0,5.0,4.0,62.1,54.0,4.98,5.0,3.1
0.31,0.0,2.0,3.0,61.0,56.0,4.38,4.4,2.68
1.5,0.0,4.0,5.0,62.0,55.0,7.29,7.34,4.54
0.3,1.0,1.0,5.0,62.5,59.0,4.28,4.3,2.68
0.38,0.0,3.0,3.0,60.8,56.0,4.71,4.66,2.85
0.8,1.0,4.0,6.0,61.6,59.0,5.92,5.86,3.63
0.29,2.0,3.0,4.0,61.7,56.0,4.27,4.3,2.64
1.06,2.0,4.0,3.0,62.2,59.0,6.47,6.52,4.04
1.24,0.0,5.0,6.0,60.7,57.0,6.98,6.92,4.22
0.3,0.0,4.0,1.0,61.2,57.0,4.3,4.39,2.66
0.31,0.0,2.0,0.0,62.1,55.0,4.32,4.38,2.7
0.31,0.0,2.0,0.0,62.2,54.0,4.37,4.41,2.73
1.09,1.0,0.0,6.0,61.2,60.0,6.6,6.64,4.05
1.01,3.0,3.0,3.0,63.8,56.0,6.27,6.34,4.02
0.52,0.0,1.0,2.0,61.8,56.0,5.15,5.18,3.19
0.38,0.0,0.0,1.0,61.3,56.0,4.65,4.71,2.87
0.41,1.0,1.0,3.0,62.8,58.0,4.72,4.7,2.96
2.07,1.0,6.0,4.0,61.5,59.0,8.2,8.16,5.03
1.01,3.0,0.0,3.0,62.2,62.0,6.29,6.41,3.95
0.7,1.0,2.0,2.0,62.5,59.0,5.68,5.61,3.53
1.03,0.0,5.0,4.0,61.2,56.0,6.5,6.51,3.98
0.41,1.0,0.0,1.0,61.6,58.0,4.78,4.74,2.93
0.58,0.0,4.0,0.0,61.6,57.0,5.34,5.37,3.3
2.0,4.0,4.0,7.0,69.8,54.0,7.6,7.56,5.29
0.4,0.0,1.0,4.0,61.1,56.0,4.77,4.75,2.91
1.0,3.0,1.0,6.0,61.0,61.0,6.37,6.44,3.91
0.5,0.0,5.0,6.0,62.2,53.0,5.11,5.14,3.19
0.34,2.0,1.0,6.0,63.1,56.0,4.51,4.46,2.83
0.41,0.0,2.0,1.0,61.8,57.0,4.75,4.79,2.95
0.32,3.0,0.0,5.0,63.7,55.0,4.38,4.35,2.78
0.27,0.0,1.0,2.0,62.1,57.0,4.13,4.15,2.57
0.4,0.0,3.0,1.0,61.2,56.0,4.79,4.75,2.92
0.31,0.0,1.0,4.0,60.8,54.0,4.4,4.39,2.67
1.2,0.0,2.0,3.0,62.1,58.0,6.78,6.84,4.23
0.27,0.0,2.0,0.0,61.8,55.0,4.16,4.19,2.58
0.53,0.0,3.0,2.0,60.4,56.0,5.29,5.24,3.18
2.3,1.0,5.0,6.0,61.3,58.0,8.53,8.46,5.21
1.35,2.0,5.0,6.0,58.6,63.0,7.28,7.19,4.24
0.5,3.0,3.0,6.0,63.8,57.0,4.98,5.02,3.19
1.09,0.0,0.0,6.0,62.1,56.0,6.56,6.59,4.08
2.01,0.0,5.0,6.0,62.3,57.0,8.06,8.08,5.03
0.48,2.0,0.0,0.0,60.6,55.0,5.08,5.12,3.09
0.57,2.0,1.0,4.0,62.9,57.0,5.26,5.29,3.32
0.9,2.0,3.0,4.0,60.5,60.0,6.2,6.24,3.76
1.0,2.0,3.0,2.0,62.7,57.0,6.32,6.37,3.98
0.31,0.0,0.0,1.0,62.3,54.0,4.36,4.4,2.73
0.3,0.0,3.0,3.0,62.9,57.0,4.31,4.28,2.7
0.7,0.0,0.0,6.0,62.1,55.0,5.68,5.73,3.54
1.52,1.0,3.0,5.0,62.2,58.0,7.39,7.33,4.58
0.3,2.0,3.0,2.0,62.3,59.0,4.25,4.29,2.66
1.4,0.0,4.0,0.0,60.9,57.0,7.22,7.29,4.42
1.52,0.0,5.0,0.0,62.2,57.0,7.27,7.33,4.54
0.3,0.0,4.0,5.0,62.2,57.0,4.26,4.29,2.66
3.01,1.0,3.0,6.0,59.8,58.0,9.44,9.37,5.62
1.0,4.0,3.0,4.0,44.0,53.0,6.31,6.24,4.12
1.11,1.0,4.0,4.0,61.7,58.0,6.64,6.69,4.11
0.41,0.0,4.0,1.0,62.7,54.0,4.79,4.78,3.0
0.51,1.0,3.0,6.0,60.8,59.0,5.2,5.19,3.16
0.54,2.0,1.0,4.0,62.6,60.0,5.26,5.19,3.27
0.8,3.0,1.0,6.0,57.7,65.0,6.13,6.08,3.52
1.16,1.0,2.0,6.0,62.1,59.0,6.71,6.76,4.18
1.01,1.0,4.0,4.0,61.6,59.0,6.41,6.39,3.94
0.4,0.0,3.0,6.0,61.8,56.0,4.75,4.77,2.94
0.31,0.0,4.0,2.0,61.3,56.0,4.37,4.4,2.69
0.71,2.0,3.0,4.0,62.9,57.0,5.69,5.72,3.59
0.53,0.0,4.0,1.0,61.2,56.0,5.25,5.27,3.22
0.93,3.0,6.0,5.0,63.7,54.0,6.15,6.09,3.9
1.0,4.0,3.0,4.0,69.8,54.0,6.03,5.94,4.18
0.34,0.0,1.0,4.0,62.6,57.0,4.45,4.47,2.79
0.7,0.0,4.0,4.0,63.0,55.0,5.7,5.67,3.58
1.22,0.0,6.0,5.0,62.3,55.0,6.91,6.83,4.28
0.41,1.0,2.0,3.0,60.8,58.0,4.82,4.76,2.91
0.78,0.0,4.0,2.0,62.1,56.0,5.88,5.9,3.66
1.41,3.0,4.0,4.0,63.8,60.0,7.04,7.12,4.52
0.3,0.0,4.0,2.0,61.7,54.0,4.34,4.31,2.67
0.7,2.0,5.0,2.0,63.1,57.0,5.63,5.68,3.57
0.33,1.0,5.0,2.0,61.5,58.0,4.43,4.45,2.73
1.01,0.0,3.0,3.0,61.5,56.0,6.48,6.43,3.97
0.5,2.0,1.0,4.0,62.4,57.0,5.01,5.03,3.13
0.31,2.0,1.0,2.0,61.5,55.0,4.37,4.41,2.7
1.3,1.0,2.0,1.0,59.3,59.0,7.11,7.08,4.22
0.45,0.0,3.0,6.0,61.9,54.0,4.91,4.95,3.05
1.53,0.0,3.0,2.0,61.0,55.0,7.44,7.5,4.56
0.32,0.0,0.0,1.0,61.9,56.0,4.39,4.36,2.71
0.5,1.0,3.0,2.0,62.1,61.0,5.1,5.07,3.16
0.71,1.0,2.0,6.0,62.2,57.0,5.66,5.6,3.5
1.01,1.0,2.0,6.0,62.7,58.0,6.38,6.32,3.98
1.21,1.0,4.0,4.0,61.0,58.0,6.9,6.83,4.19
0.31,2.0,3.0,6.0,63.3,54.0,4.34,4.29,2.73
1.05,0.0,0.0,4.0,61.0,56.0,6.54,6.61,4.01
1.0,2.0,2.0,4.0,62.9,59.0,6.3,6.33,3.97
1.06,1.0,5.0,5.0,62.9,60.0,6.47,6.43,4.06
0.9,3.0,4.0,6.0,63.6,60.0,6.11,6.06,3.87
1.17,1.0,5.0,5.0,62.6,58.0,6.71,6.64,4.18
0.52,2.0,0.0,3.0,62.6,59.0,5.03,5.13,3.18
0.3,0.0,0.0,4.0,61.8,55.0,4.35,4.32,2.68
0.44,3.0,6.0,3.0,63.1,57.0,4.83,4.87,3.06
1.01,3.0,4.0,6.0,64.1,56.0,6.37,6.3,4.06
1.11,0.0,4.0,6.0,61.5,55.0,6.65,6.69,4.1
1.52,0.0,1.0,5.0,62.8,55.0,7.3,7.35,4.6
0.75,0.0,1.0,6.0,62.6,55.0,5.72,5.79,3.6
0.72,0.0,3.0,3.0,61.8,56.0,5.74,5.76,3.55
2.08,0.0,4.0,5.0,61.7,58.0,8.13,8.21,5.04
1.08,0.0,1.0,3.0,61.6,57.0,6.58,6.61,4.06
0.31,2.0,3.0,4.0,60.9,57.0,4.37,4.39,2.67
0.42,1.0,1.0,4.0,61.0,60.0,4.85,4.82,2.95
0.54,0.0,5.0,3.0,61.2,58.0,5.24,5.29,3.22
1.21,1.0,4.0,6.0,61.1,60.0,6.91,6.86,4.21
0.8,1.0,1.0,6.0,59.9,58.0,6.03,5.96,3.59
0.8,1.0,1.0,6.0,59.1,61.0,6.03,5.99,3.55
0.34,0.0,1.0,4.0,62.4,55.0,4.48,4.53,2.81
0.39,0.0,2.0,2.0,61.9,54.8,4.68,4.69,2.9
1.03,0.0,0.0,6.0,61.8,56.0,6.46,6.51,4.01
0.71,0.0,3.0,5.0,61.4,57.0,5.76,5.71,3.52
0.55,2.0,1.0,4.0,61.5,56.0,5.25,5.28,3.24
0.5,2.0,3.0,2.0,62.4,56.0,5.06,5.1,3.17
1.5,3.0,5.0,3.0,57.2,62.0,7.64,7.61,4.36
1.75,0.0,3.0,4.0,62.6,56.0,7.72,7.65,4.81
0.58,1.0,2.0,6.0,63.0,56.0,5.34,5.26,3.34
0.3,0.0,5.0,2.0,62.2,56.0,4.25,4.3,2.66
2.25,1.0,6.0,5.0,61.8,61.0,8.46,8.39,5.21
0.41,0.0,1.0,5.0,62.1,54.0,4.76,4.81,2.97
2.01,1.0,6.0,5.0,63.0,57.0,8.07,8.0,5.06
1.11,2.0,2.0,3.0,60.7,55.0,6.69,6.71,4.07
1.0,1.0,1.0,6.0,62.8,59.0,6.34,6.3,3.97
0.85,2.0,1.0,4.0,60.2,60.0,6.09,6.14,3.68
0.51,0.0,5.0,3.0,62.0,57.0,5.1,5.13,3.17
0.74,2.0,3.0,5.0,63.5,60.0,5.73,5.68,3.62
1.09,0.0,4.0,5.0,61.9,56.0,6.64,6.61,4.1
0.33,0.0,3.0,1.0,62.0,56.0,4.48,4.45,2.77
2.0,0.0,5.0,3.0,62.3,56.0,8.08,8.03,5.02
0.7,2.0,6.0,6.0,63.2,60.0,5.58,5.62,3.54
0.41,1.0,1.0,3.0,61.9,59.0,4.8,4.77,2.96
0.74,0.0,5.0,1.0,62.3,55.0,5.77,5.82,3.61
0.33,0.0,2.0,2.0,61.4,57.0,4.43,4.46,2.73
0.73,0.0,5.0,3.0,61.6,55.0,5.77,5.79,3.56
0.3,2.0,0.0,4.0,62.8,57.0,4.29,4.31,2.7
0.32,0.0,2.0,0.0,60.3,58.0,4.45,4.5,2.7
0.7,3.0,0.0,6.0,58.2,63.0,5.78,5.83,3.38
1.23,0.0,4.0,6.0,62.4,57.0,6.79,6.84,4.25
0.68,2.0,3.0,0.0,62.7,56.0,5.56,5.6,3.5
0.58,0.0,1.0,6.0,62.8,56.0,5.3,5.37,3.35
0.32,0.0,3.0,4.0,62.0,57.0,4.41,4.39,2.73
1.22,1.0,4.0,5.0,61.8,57.0,6.86,6.82,4.23
0.73,0.0,3.0,6.0,61.1,57.0,5.8,5.82,3.55
0.74,0.0,1.0,2.0,62.2,57.0,5.78,5.83,3.61
0.6,3.0,1.0,3.0,58.1,63.0,5.53,5.63,3.24
0.31,1.0,3.0,0.0,61.0,59.0,4.36,4.33,2.65
0.31,3.0,1.0,1.0,60.9,61.0,4.32,4.35,2.64
0.34,0.0,4.0,5.0,61.3,57.0,4.54,4.55,2.78
1.58,0.0,5.0,5.0,61.7,56.0,7.47,7.5,4.62
1.02,0.0,0.0,2.0,62.2,59.0,6.41,6.46,4.0
1.5,0.0,5.0,5.0,62.1,55.0,7.32,7.36,4.56
0.3,0.0,4.0,2.0,61.6,55.0,4.34,4.3,2.66
1.06,0.0,2.0,2.0,62.1,57.0,6.54,6.5,4.05
0.33,1.0,0.0,3.0,60.3,61.0,4.51,4.48,2.71
0.71,0.0,4.0,6.0,62.6,56.0,5.75,5.69,3.58
1.46,1.0,3.0,6.0,59.5,59.0,7.34,7.29,4.35
0.75,0.0,3.0,4.0,60.6,55.0,5.91,5.93,3.59
0.55,0.0,0.0,2.0,61.5,56.0,5.26,5.28,3.24
0.56,0.0,2.0,2.0,61.0,56.0,5.33,5.35,3.26
1.22,1.0,1.0,6.0,61.5,58.0,6.81,6.85,4.2
0.53,0.0,3.0,2.0,61.0,56.0,5.21,5.25,3.19
1.01,2.0,4.0,5.0,61.8,60.0,6.38,6.44,3.96
0.7,0.0,5.0,1.0,61.5,57.0,5.72,5.75,3.52
1.69,1.0,2.0,4.0,58.7,59.0,7.87,7.78,4.59
0.72,0.0,0.0,6.0,61.1,58.0,5.76,5.79,3.53
0.33,2.0,2.0,3.0,59.1,60.0,4.48,4.52,2.66
0.51,2.0,3.0,3.0,62.7,56.0,5.08,5.13,3.2
0.74,4.0,6.0,3.0,58.8,68.0,5.91,5.8,3.44
2.04,0.0,6.0,5.0,59.1,59.0,8.29,8.24,4.88
0.51,0.0,4.0,0.0,59.6,59.0,5.2,5.24,3.11
0.31,0.0,0.0,3.0,61.6,54.0,4.33,4.37,2.68
0.23,2.0,0.0,4.0,62.7,58.0,3.86,3.89,2.43
0.56,0.0,0.0,3.0,62.5,56.0,5.26,5.3,3.3
0.53,0.0,2.0,3.0,61.2,56.0,5.22,5.24,3.2
2.21,1.0,3.0,6.0,60.7,62.0,8.48,8.42,5.13
0.55,0.0,2.0,4.0,61.1,56.0,5.31,5.27,3.23
0.53,0.0,2.0,3.0,60.4,57.0,5.25,5.22,3.16
0.32,2.0,2.0,4.0,61.1,58.0,4.39,4.42,2.69
0.84,2.0,3.0,4.0,61.8,57.0,6.04,6.07,3.74
1.01,1.0,2.0,6.0,60.0,60.0,6.46,6.4,3.86
0.7,4.0,2.0,3.0,64.5,57.0,5.65,5.58,3.62
1.04,2.0,2.0,3.0,61.6,60.0,6.49,6.54,4.01
0.51,0.0,4.0,5.0,63.0,57.0,5.14,5.11,3.23
0.5,3.0,3.0,2.0,64.4,57.0,4.97,5.05,3.22
0.91,2.0,4.0,5.0,63.4,55.0,6.18,6.15,3.91
1.05,2.0,1.0,3.0,63.1,59.0,6.49,6.45,4.08
0.41,0.0,5.0,4.0,61.5,55.0,4.8,4.82,2.96
0.5,2.0,0.0,4.0,63.4,57.0,5.05,5.08,3.21
0.36,2.0,3.0,5.0,61.8,60.0,4.53,4.57,2.81
0.33,1.0,4.0,4.0,61.4,58.0,4.49,4.44,2.74
0.7,0.0,3.0,0.0,61.3,56.0,5.72,5.73,3.51
1.01,2.0,1.0,5.0,62.8,59.0,6.41,6.45,4.04
0.32,0.0,2.0,3.0,62.0,54.0,4.44,4.43,2.75
1.55,0.0,1.0,5.0,61.5,56.0,7.4,7.36,4.54
0.7,0.0,5.0,5.0,61.0,57.0,5.71,5.74,3.5
0.71,2.0,1.0,6.0,62.2,58.0,5.68,5.73,3.55
0.71,2.0,0.0,4.0,63.0,58.0,5.65,5.68,3.57
0.3,0.0,2.0,5.0,61.9,57.0,4.31,4.35,2.68
2.0,3.0,4.0,4.0,63.8,59.0,7.88,8.01,5.07
1.5,1.0,5.0,6.0,62.8,57.0,7.34,7.25,4.58
0.56,2.0,4.0,2.0,59.8,57.0,5.39,5.48,3.25
0.42,1.0,2.0,5.0,60.6,61.0,4.87,4.83,2.94
0.4,3.0,1.0,5.0,63.2,56.0,4.65,4.69,2.95
0.33,2.0,3.0,3.0,61.6,57.0,4.42,4.51,2.75
0.7,1.0,2.0,5.0,59.5,57.0,5.81,5.79,3.45
0.31,0.0,0.0,4.0,60.2,56.0,4.46,4.41,2.67
0.54,0.0,2.0,1.0,61.6,55.0,5.27,5.28,3.25
0.7,2.0,5.0,6.0,63.4,59.0,5.66,5.57,3.56
0.35,0.0,6.0,4.0,61.4,55.0,4.55,4.57,2.8
0.4,0.0,3.0,2.0,62.4,57.0,4.7,4.73,2.94
0.31,1.0,4.0,1.0,62.6,58.0,4.29,4.33,2.7
0.7,3.0,2.0,5.0,63.1,57.0,5.61,5.65,3.55
2.05,1.0,3.0,5.0,61.6,59.0,8.2,8.16,5.04
0.43,1.0,0.0,5.0,60.1,58.0,4.89,4.93,2.95
0.33,2.0,3.0,6.0,60.0,56.0,4.52,4.55,2.73
0.31,2.0,3.0,3.0,63.2,56.0,4.32,4.29,2.72
0.91,2.0,2.0,5.0,62.3,60.0,6.08,6.15,3.81
0.27,0.0,2.0,4.0,60.9,57.0,4.17,4.2,2.55
0.35,0.0,2.0,4.0,62.1,54.0,4.55,4.58,2.83
0.79,3.0,3.0,5.0,63.6,57.0,5.86,5.84,3.72
0.52,2.0,3.0,3.0,62.4,60.0,5.11,5.12,3.19
0.42,1.0,3.0,1.0,59.8,58.0,4.85,4.88,2.91
0.72,0.0,5.0,2.0,61.6,57.0,5.73,5.76,3.54
0.7,2.0,2.0,1.0,59.3,62.0,5.74,5.77,3.41
1.2,0.0,5.0,6.0,59.6,61.0,6.95,6.97,4.15
1.36,1.0,5.0,3.0,62.0,59.0,7.1,7.06,4.39
2.03,1.0,3.0,4.0,60.9,59.0,8.17,8.14,4.97
0.51,0.0,3.0,2.0,61.8,56.0,5.16,5.1,3.17
1.01,2.0,0.0,6.0,61.4,60.0,6.33,6.38,3.9
0.46,0.0,6.0,1.0,61.8,56.0,4.97,4.93,3.06
0.3,2.0,4.0,4.0,60.9,61.0,4.32,4.35,2.64
0.51,2.0,3.0,2.0,63.1,58.0,5.11,5.07,3.21
0.38,1.0,4.0,2.0,62.0,58.0,4.62,4.64,2.87
0.33,0.0,3.0,4.0,61.2,55.0,4.46,4.49,2.74
1.23,0.0,1.0,6.0,62.1,55.0,6.91,6.84,4.27
0.9,2.0,4.0,3.0,63.2,59.0,6.08,6.11,3.85
0.7,1.0,4.0,5.0,60.3,55.0,5.8,5.75,3.48
1.27,1.0,4.0,6.0,59.3,61.0,7.12,7.05,4.2
0.41,1.0,3.0,1.0,59.7,60.0,4.85,4.83,2.89
0.8,0.0,3.0,6.0,62.1,57.0,5.95,6.03,3.72
1.31,0.0,3.0,3.0,62.0,53.0,7.06,7.07,4.37
2.3,0.0,3.0,6.0,61.6,57.0,8.47,8.41,5.2
0.5,0.0,6.0,4.0,62.5,53.0,5.09,5.12,3.19
0.35,0.0,1.0,0.0,61.4,56.0,4.53,4.56,2.79
0.46,1.0,0.0,4.0,60.9,58.0,4.97,4.94,3.02
0.91,2.0,2.0,5.0,61.4,58.0,6.19,6.23,3.81
2.05,2.0,5.0,6.0,59.8,56.0,8.32,8.41,5.0
1.28,0.0,1.0,3.0,61.7,57.0,6.93,6.97,4.29
1.5,2.0,4.0,5.0,63.5,58.0,7.23,7.17,4.57
0.73,1.0,5.0,2.0,61.5,58.0,5.73,5.78,3.54
1.09,2.0,1.0,6.0,60.9,59.0,6.61,6.75,4.07
1.0,1.0,2.0,4.0,61.9,59.0,6.38,6.34,3.94
0.3,0.0,2.0,4.0,62.1,53.6,4.28,4.31,2.67
0.3,2.0,0.0,5.0,61.0,61.0,4.27,4.29,2.61
1.0,3.0,2.0,4.0,63.2,59.0,6.3,6.35,4.0
0.91,4.0,4.0,5.0,65.8,58.0,6.04,6.01,3.96
0.61,0.0,4.0,0.0,62.0,54.4,5.44,5.47,3.38
1.01,1.0,3.0,4.0,59.2,59.0,6.59,6.52,3.88
